step,time,requested_x,requested_y,requested_z,i,j,k,T,pressure,velocity_magnitude
265,13.25,0.22,0,0.3,4,0,13,20,-0.00276864,0.031997
266,13.3,0.22,0,0.3,4,0,13,20,0,0
267,13.35,0.22,0,0.3,4,0,13,20,-0.00276864,0.031997
268,13.4,0.22,0,0.3,4,0,13,20,0,0
269,13.45,0.22,0,0.3,4,0,13,20,-0.00276864,0.031997
270,13.5,0.22,0,0.3,4,0,13,20,0,0
271,13.55,0.22,0,0.3,4,0,13,20,-0.00276864,0.031997
272,13.6,0.22,0,0.3,4,0,13,20,0,0
273,13.65,0.22,0,0.3,4,0,13,20,-0.00276864,0.031997
274,13.7,0.22,0,0.3,4,0,13,20,0,0
275,13.75,0.22,0,0.3,4,0,13,20,-0.00276864,0.031997
276,13.8,0.22,0,0.3,4,0,13,20,0,0
277,13.85,0.22,0,0.3,4,0,13,20,-0.00276864,0.031997
278,13.9,0.22,0,0.3,4,0,13,20,0,0
279,13.95,0.22,0,0.3,4,0,13,20,-0.00276864,0.031997
280,14,0.22,0,0.3,4,0,13,20,0,0
281,14.05,0.22,0,0.3,4,0,13,20,-0.00276864,0.031997
282,14.1,0.22,0,0.3,4,0,13,20,0,0
283,14.15,0.22,0,0.3,4,0,13,20,-0.00276864,0.031997
284,14.2,0.22,0,0.3,4,0,13,20,0,0
285,14.25,0.22,0,0.3,4,0,13,20,-0.00276864,0.031997
286,14.3,0.22,0,0.3,4,0,13,20,0,0
287,14.35,0.22,0,0.3,4,0,13,20,-0.00276864,0.031997
288,14.4,0.22,0,0.3,4,0,13,20,0,0
289,14.45,0.22,0,0.3,4,0,13,20,-0.00276864,0.031997
290,14.5,0.22,0,0.3,4,0,13,20,0,0
291,14.55,0.22,0,0.3,4,0,13,20,-0.00276864,0.031997
292,14.6,0.22,0,0.3,4,0,13,20,0,0
293,14.65,0.22,0,0.3,4,0,13,20,-0.00276864,0.031997
294,14.7,0.22,0,0.3,4,0,13,20,0,0
295,14.75,0.22,0,0.3,4,0,13,20,-0.00276864,0.031997
296,14.8,0.22,0,0.3,4,0,13,20,0,0
297,14.85,0.22,0,0.3,4,0,13,20,-0.00276864,0.031997
298,14.9,0.22,0,0.3,4,0,13,20,0,0
299,14.95,0.22,0,0.3,4,0,13,20,-0.00276864,0.031997
300,15,0.22,0,0.3,4,0,13,20,0,0
301,15.05,0.22,0,0.3,4,0,13,20,-0.00276863,0.031997
302,15.1,0.22,0,0.3,4,0,13,20,0,0
303,15.15,0.22,0,0.3,4,0,13,20,-0.00276863,0.031997
304,15.2,0.22,0,0.3,4,0,13,20,0,0
305,15.25,0.22,0,0.3,4,0,13,20,-0.00276863,0.031997
306,15.3,0.22,0,0.3,4,0,13,20,0,0
307,15.35,0.22,0,0.3,4,0,13,20,-0.00276863,0.031997
308,15.4,0.22,0,0.3,4,0,13,20,0,0
309,15.45,0.22,0,0.3,4,0,13,20,-0.00276863,0.031997
310,15.5,0.22,0,0.3,4,0,13,20,0,0
311,15.55,0.22,0,0.3,4,0,13,20,-0.00276863,0.031997
312,15.6,0.22,0,0.3,4,0,13,20,0,0
313,15.65,0.22,0,0.3,4,0,13,20,-0.00276863,0.031997
314,15.7,0.22,0,0.3,4,0,13,20,0,0
315,15.75,0.22,0,0.3,4,0,13,20,-0.00276863,0.031997
316,15.8,0.22,0,0.3,4,0,13,20,0,0
317,15.85,0.22,0,0.3,4,0,13,20,-0.00276863,0.031997
318,15.9,0.22,0,0.3,4,0,13,20,0,0
319,15.95,0.22,0,0.3,4,0,13,20,-0.00276863,0.031997
320,16,0.22,0,0.3,4,0,13,20,0,0
321,16.05,0.22,0,0.3,4,0,13,20,-0.00276863,0.031997
322,16.1,0.22,0,0.3,4,0,13,20,0,0
323,16.15,0.22,0,0.3,4,0,13,20,-0.00276863,0.031997
324,16.2,0.22,0,0.3,4,0,13,20,0,0
325,16.25,0.22,0,0.3,4,0,13,20,-0.00276863,0.031997
326,16.3,0.22,0,0.3,4,0,13,20,0,0
327,16.35,0.22,0,0.3,4,0,13,20,-0.00276863,0.031997
328,16.4,0.22,0,0.3,4,0,13,20,0,0
329,16.45,0.22,0,0.3,4,0,13,20,-0.00276863,0.031997
330,16.5,0.22,0,0.3,4,0,13,20,0,0
331,16.55,0.22,0,0.3,4,0,13,20,-0.00276863,0.031997
332,16.6,0.22,0,0.3,4,0,13,20,0,0
333,16.65,0.22,0,0.3,4,0,13,20,-0.00276863,0.031997
334,16.7,0.22,0,0.3,4,0,13,20,0,0
335,16.75,0.22,0,0.3,4,0,13,20,-0.00276863,0.031997
336,16.8,0.22,0,0.3,4,0,13,20,0,0
337,16.85,0.22,0,0.3,4,0,13,20,-0.00276863,0.031997
338,16.9,0.22,0,0.3,4,0,13,20,0,0
339,16.95,0.22,0,0.3,4,0,13,20,-0.00276863,0.031997
340,17,0.22,0,0.3,4,0,13,20,0,0
341,17.05,0.22,0,0.3,4,0,13,20,-0.00276863,0.031997
342,17.1,0.22,0,0.3,4,0,13,20,0,0
343,17.15,0.22,0,0.3,4,0,13,20,-0.00276863,0.031997
344,17.2,0.22,0,0.3,4,0,13,20,0,0
345,17.25,0.22,0,0.3,4,0,13,20,-0.00276863,0.031997
346,17.3,0.22,0,0.3,4,0,13,20,0,0
347,17.35,0.22,0,0.3,4,0,13,20,-0.00276863,0.031997
348,17.4,0.22,0,0.3,4,0,13,20,0,0
349,17.45,0.22,0,0.3,4,0,13,20,-0.00276863,0.031997
350,17.5,0.22,0,0.3,4,0,13,20,0,0
351,17.55,0.22,0,0.3,4,0,13,20,-0.00276863,0.031997
352,17.6,0.22,0,0.3,4,0,13,20,0,0
353,17.65,0.22,0,0.3,4,0,13,20,-0.00276863,0.031997
354,17.7,0.22,0,0.3,4,0,13,20,0,0
355,17.75,0.22,0,0.3,4,0,13,20,-0.00276863,0.031997
356,17.8,0.22,0,0.3,4,0,13,20,0,0
357,17.85,0.22,0,0.3,4,0,13,20,-0.00276863,0.031997
358,17.9,0.22,0,0.3,4,0,13,20,0,0
359,17.95,0.22,0,0.3,4,0,13,20,-0.00276863,0.031997
360,18,0.22,0,0.3,4,0,13,20,0,0
361,18.05,0.22,0,0.3,4,0,13,20,-0.00276863,0.031997
362,18.1,0.22,0,0.3,4,0,13,20.0001,0,0
363,18.15,0.22,0,0.3,4,0,13,20.0001,-0.00276863,0.031997
364,18.2,0.22,0,0.3,4,0,13,20.0001,0,0
365,18.25,0.22,0,0.3,4,0,13,20.0001,-0.00276863,0.031997
366,18.3,0.22,0,0.3,4,0,13,20.0001,0,0
367,18.35,0.22,0,0.3,4,0,13,20.0001,-0.00276863,0.031997
368,18.4,0.22,0,0.3,4,0,13,20.0001,0,0
369,18.45,0.22,0,0.3,4,0,13,20.0001,-0.00276863,0.031997
370,18.5,0.22,0,0.3,4,0,13,20.0001,0,0
371,18.55,0.22,0,0.3,4,0,13,20.0001,-0.00276863,0.0319971
372,18.6,0.22,0,0.3,4,0,13,20.0001,0,0
373,18.65,0.22,0,0.3,4,0,13,20.0001,-0.00276863,0.0319971
374,18.7,0.22,0,0.3,4,0,13,20.0001,0,0
375,18.75,0.22,0,0.3,4,0,13,20.0001,-0.00276863,0.0319971
376,18.8,0.22,0,0.3,4,0,13,20.0001,0,0
377,18.85,0.22,0,0.3,4,0,13,20.0001,-0.00276863,0.0319971
378,18.9,0.22,0,0.3,4,0,13,20.0001,0,0
379,18.95,0.22,0,0.3,4,0,13,20.0001,-0.00276863,0.0319971
380,19,0.22,0,0.3,4,0,13,20.0001,0,0
381,19.05,0.22,0,0.3,4,0,13,20.0001,-0.00276863,0.0319971
382,19.1,0.22,0,0.3,4,0,13,20.0001,0,0
383,19.15,0.22,0,0.3,4,0,13,20.0001,-0.00276863,0.0319971
384,19.2,0.22,0,0.3,4,0,13,20.0001,0,0
385,19.25,0.22,0,0.3,4,0,13,20.0001,-0.00276863,0.0319971
386,19.3,0.22,0,0.3,4,0,13,20.0001,0,0
387,19.35,0.22,0,0.3,4,0,13,20.0001,-0.00276863,0.0319971
388,19.4,0.22,0,0.3,4,0,13,20.0001,0,0
389,19.45,0.22,0,0.3,4,0,13,20.0001,-0.00276863,0.0319971
390,19.5,0.22,0,0.3,4,0,13,20.0001,0,0
391,19.55,0.22,0,0.3,4,0,13,20.0001,-0.00276863,0.0319971
392,19.6,0.22,0,0.3,4,0,13,20.0001,0,0
393,19.65,0.22,0,0.3,4,0,13,20.0001,-0.00276863,0.0319971
394,19.7,0.22,0,0.3,4,0,13,20.0001,0,0
395,19.75,0.22,0,0.3,4,0,13,20.0001,-0.00276863,0.0319971
396,19.8,0.22,0,0.3,4,0,13,20.0001,0,0
397,19.85,0.22,0,0.3,4,0,13,20.0001,-0.00276863,0.0319971
398,19.9,0.22,0,0.3,4,0,13,20.0001,0,0
399,19.95,0.22,0,0.3,4,0,13,20.0001,-0.00276863,0.0319971
400,20,0.22,0,0.3,4,0,13,20.0001,0,0
401,20.05,0.22,0,0.3,4,0,13,20.0001,-0.00276863,0.0319971
402,20.1,0.22,0,0.3,4,0,13,20.0001,0,0
403,20.15,0.22,0,0.3,4,0,13,20.0001,-0.00276863,0.0319971
404,20.2,0.22,0,0.3,4,0,13,20.0001,0,0
405,20.25,0.22,0,0.3,4,0,13,20.0001,-0.00276863,0.0319971
406,20.3,0.22,0,0.3,4,0,13,20.0001,0,0
407,20.35,0.22,0,0.3,4,0,13,20.0001,-0.00276863,0.0319971
408,20.4,0.22,0,0.3,4,0,13,20.0001,0,0
409,20.45,0.22,0,0.3,4,0,13,20.0001,-0.00276863,0.0319971
410,20.5,0.22,0,0.3,4,0,13,20.0001,0,0
411,20.55,0.22,0,0.3,4,0,13,20.0001,-0.00276863,0.0319971
412,20.6,0.22,0,0.3,4,0,13,20.0001,0,0
413,20.65,0.22,0,0.3,4,0,13,20.0001,-0.00276863,0.0319971
414,20.7,0.22,0,0.3,4,0,13,20.0001,0,0
415,20.75,0.22,0,0.3,4,0,13,20.0001,-0.00276863,0.0319971
416,20.8,0.22,0,0.3,4,0,13,20.0001,0,0
417,20.85,0.22,0,0.3,4,0,13,20.0001,-0.00276863,0.0319971
418,20.9,0.22,0,0.3,4,0,13,20.0001,0,0
419,20.95,0.22,0,0.3,4,0,13,20.0001,-0.00276863,0.0319971
420,21,0.22,0,0.3,4,0,13,20.0001,0,0
