step,time,x,y,z,T,qdot,is_component,k,rho,cp,vx,vy,vz,h
dx,0.1,dy,0.1,dz,0.01
0,0,1,2,42,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,2,43,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,2,44,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,3,0,20,14060.7,1,150,2700,900,0,0,0,0
0,0,1,3,1,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,3,2,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,3,3,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,3,4,20,14060.7,1,150,2700,900,0,0,0,0
0,0,1,3,5,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,3,6,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,3,7,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,3,8,20,0,0,0.02587,1.225,1005.5,0,0,0,0
